ticker,ARKG,ARKK,ARKQ,ARKW,ARKX,BUG,DJIA 30,FW-bloom,FW-clean_energy,FW-concrete,FW-cyclicals,FW-earthy,FW-exosphere,FW-techtonic,FW-yosemite,NASDAQ 100,S&P 500,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,total,company,sector,industry,ref_etf
CMG,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,XLY
CMI,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Cummins,Industrials,Specialty Industrial Machinery,XLI
CMLF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CM Life Sciences,Financial Services,Shell Companies,XLF
CMS,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,CMS Energy,Utilities,Utilities‚ Regulated Electric,XLU
CNC,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Centene,Healthcare,Healthcare Plans,XLV
CNP,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,CenterPoint Energy,Utilities,Utilities‚ Regulated Electric,XLU
COF,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Capital One Financial,Financial Services,Credit Services,XLF
COG,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,Cabot Oil & Gas,Energy,Oil & Gas E&P,XLE
COIN,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,Coinbase Global,Technology,Software‚ Application,XLK
COKE,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Coca-Cola Consolidated,Consumer Defensive,Beverages‚ Non-Alcoholic,XLP
CONE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,CyrusOne,Real Estate,REIT‚ Specialty,XLRE
COO,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Cooper Companies,Healthcare,Medical Instruments & Supplies,XLV
COP,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,ConocoPhillips,Energy,Oil & Gas E&P,XLE
CORT,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Corcept Therapeutics,Healthcare,Biotechnology,XLV
COST,,,,,,,,1,,,,,,,1,1,1,,,,,,,1,,,,,5,Costco Wholesale,Consumer Defensive,Discount Stores,XLP
COUP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Coupa Software,Technology,Software‚ Application,XLK
COWN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Cowen,Financial Services,Capital Markets,XLF
CPB,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,Campbell Soup,Consumer Defensive,Packaged Foods,XLP
CPRT,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,4,Copart,Industrials,Specialty Business Services,XLI
CPWHF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Ceres Power Holdings,#N/A,#N/A,#N/A
CRH,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,CRH,Basic Materials,Building Materials,XLB
CRL,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,1,,4,Charles River,Healthcare,Diagnostics & Research,XLV
CRM,,,,,,,1,,,,,,1,1,,,1,,,,,,1,,,,,,5,Salesforce.com,Technology,Software‚ Application,XLK
CRSP,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,CRISPR Therapeutics,Healthcare,Biotechnology,XLV
CRWD,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,CrowdStrike Holdings,#N/A,#N/A,#N/A
CSCO,,,,,,,1,,,,,,,,1,1,1,,,,,,1,,,,,,5,Cisco Systems,Technology,Communication Equipment,XLK
CSL,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Carlisle Companies,Industrials,Building Products & Equipment,XLI
CSOD,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Cornerstone OnDemand,Technology,Software‚ Application,XLK
CSTL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Castle Biosciences,Healthcare,Diagnostics & Research,XLV
CSX,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,3,CSX,Industrials,Railroads,XLI
CTAS,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,4,Cintas,Industrials,Specialty Business Services,XLI
CTB,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Cooper Tire & Rubber,Consumer Cyclical,Auto Parts,XLY
CTLT,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Catalent,Healthcare,Drug Manufacturers‚ Specialty & Generic,XLV
CTRE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,CareTrust REIT,Real Estate,REIT‚ Healthcare Facilities,XLRE
CTSH,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,4,Cognizant Tech Solns,Technology,Information Technology Services,XLK
CTVA,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Corteva,Basic Materials,Agricultural Inputs,XLB
CTXS,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,3,Citrix Systems,Technology,Software‚ Application,XLK
CUBE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,CubeSmart,Real Estate,REIT‚ Industrial,XLRE
CVCO,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Cavco Indus,Consumer Cyclical,Residential Construction,XLY
CVS,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,3,CVS Health,Healthcare,Healthcare Plans,XLV
CYBR,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,CyberArk Software,#N/A,#N/A,#N/A
CZR,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Caesars Entertainment,Consumer Cyclical,Resorts & Casinos,XLY
D,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,Dominion Energy,Utilities,Utilities‚ Regulated Electric,XLU
DAL,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Delta Air Lines,Industrials,Airlines,XLI
DCI,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Donaldson,Industrials,Specialty Industrial Machinery,XLI
DD,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,3,DuPont de Nemours,Basic Materials,Specialty Chemicals,XLB
DDD,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,3D Sys,Technology,Computer Hardware,XLK
DE,,,1,,1,,,1,,,,,,,,,1,,,,,1,,,,,,,5,Deere,Industrials,Farm & Heavy Construction Machinery,XLI
DECK,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Deckers Outdoor,Consumer Cyclical,Footwear & Accessories,XLY
DFS,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Discover Financial,Financial Services,Credit Services,XLF
DG,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,3,Dollar General,Consumer Defensive,Discount Stores,XLP
DGX,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Quest Diagnostics,Healthcare,Diagnostics & Research,XLV
DHI,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,3,D.R. Horton,Consumer Cyclical,Residential Construction,XLY
DHR,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Danaher,Healthcare,Diagnostics & Research,XLV
DIS,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,4,Walt Disney,Consumer Cyclical,Entertainment,XLY
DISCA,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,Discovery,Communication Services,Entertainment,XLC
DISCK,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,Discovery,Communication Services,Entertainment,XLC
DISH,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,DISH Network,Communication Services,Entertainment,XLC
DKNG,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,DraftKings,Consumer Cyclical,Gambling,XLY
DLR,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,,,4,Digital Realty Trust,Real Estate,REIT‚ Office,XLRE
DNNGY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Orsted,#N/A,#N/A,#N/A
DOC,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Physicians Realty Trust,Real Estate,REIT‚ Healthcare Facilities,XLRE
DOCU,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,4,DocuSign,Technology,Software‚ Application,XLK
DORM,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Dorman Products,Consumer Cyclical,Auto Parts,XLY
DOV,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Dover,Industrials,Specialty Industrial Machinery,XLI
DOW,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,3,Dow,Basic Materials,Chemicals,XLB
DPZ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Domino's Pizza,Consumer Cyclical,Restaurants,XLY
DQ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Daqo New Energy,Technology,Semiconductor Equipment & Materials,XLK
DRE,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,3,Duke Realty,Real Estate,REIT‚ Industrial,XLRE
DRI,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Darden Restaurants,Consumer Cyclical,Restaurants,XLY
DRNA,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Dicerna Pharmaceuticals,Healthcare,Biotechnology,XLV
DTE,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,,,4,DTE Energy,Utilities,Utilities‚ Regulated Electric,XLU
DUK,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,3,Duke Energy,Utilities,Utilities‚ Regulated Electric,XLU
DVA,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,DaVita,Healthcare,Medical Care Facilities,XLV
DVN,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,Devon Energy,Energy,Oil & Gas E&P,XLE
DXC,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,DXC Technology,Technology,Information Technology Services,XLK
DXCM,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,4,DexCom,Healthcare,Diagnostics & Research,XLV
DYA.TO,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,DynaCERT,Industrials,Specialty Industrial Machinery,XLI
EA,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Electronic Arts,Communication Services,Electronic Gaming & Multimedia,XLC
EBAY,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,3,eBay,Consumer Cyclical,Internet Retail,XLY
EBR,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,Centrais Eletricas,Utilities,Utilities‚ Regulated Electric,XLU
ECL,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Ecolab,Basic Materials,Specialty Chemicals,XLB
ED,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,Consolidated Edison,Utilities,Utilities‚ Regulated Electric,XLU
EDRVF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,EDP Renovaveis,#N/A,#N/A,#N/A
EFX,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Equifax,Industrials,Consulting Services,XLI
EGP,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,EastGroup Properties,Real Estate,REIT‚ Industrial,XLRE
EHC,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,Encompass Health,Healthcare,Medical Care Facilities,XLV
EIX,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,Edison,Utilities,Utilities‚ Regulated Electric,XLU
EL,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,Estee Lauder Cos,Consumer Defensive,Household & Personal Products,XLP
EMN,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Eastman Chemical,Basic Materials,Chemicals,XLB
ENLTF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Enlight Renewable Energy,#N/A,#N/A,#N/A
ENPH,,,,,,,,1,1,,,,,1,,,1,,,,,,1,,,,,,5,Enphase Energy,Technology,Solar,XLK
ENS,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,EnerSys,Industrials,Electrical Equipment & Parts,XLI
ENSG,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Ensign Group,Healthcare,Medical Care Facilities,XLV
ENTG,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,Entegris,Technology,Semiconductor Equipment & Materials,XLK
ENV,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Envestnet,Technology,Software‚ Application,XLK
EOG,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,EOG Resources,Energy,Oil & Gas E&P,XLE
EPAM,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,EPAM Systems,Technology,Information Technology Services,XLK
EPD,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Enterprise Prods Partners,Energy,Oil & Gas Midstream,XLE
EQIX,,,,,,,,1,,1,,,,,1,,1,,,,,,,,1,,,,5,Equinix,Real Estate,REIT‚ Specialty,XLRE
EQR,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,Equity Residential,Real Estate,REIT‚ Residential,XLRE
ES,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,3,Eversource Energy,Utilities,Utilities‚ Regulated Electric,XLU
ESLT,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,Elbit Systems,Industrials,Aerospace & Defense,XLI
ESS,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,3,Essex Property Trust,Real Estate,REIT‚ Residential,XLRE
ETN,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,3,Eaton Corp,Industrials,Specialty Industrial Machinery,XLI
ETR,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,3,Entergy,Utilities,Utilities‚ Regulated Electric,XLU
ETSY,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,3,Etsy,Consumer Cyclical,Internet Retail,XLY
EVBG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Everbridge,Technology,Software‚ Application,XLK
EVGN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Evogene,Healthcare,Biotechnology,XLV
EVRG,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,3,Evergy,Utilities,Utilities‚ Regulated Electric,XLU
EW,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Edwards Lifesciences,Healthcare,Medical Devices,XLV
EXAS,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Exact Sciences,Healthcare,Diagnostics & Research,XLV
EXC,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,3,Exelon,Utilities,Utilities‚ Diversified,XLU
EXP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Eagle Materials,Basic Materials,Building Materials,XLB
EXPD,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,4,Expeditors International,Industrials,Integrated Freight & Logistics,XLI
EXPE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Expedia Group,Consumer Cyclical,Travel Services,XLY
EXPI,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,eXp World Holdings,Real Estate,Real Estate Services,XLRE
EXR,,,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,,4,Extra Space Storage,Real Estate,REIT‚ Industrial,XLRE
F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Ford Motor,Consumer Cyclical,Auto Manufacturers,XLY
FANG,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,Diamondback Energy,Energy,Oil & Gas E&P,XLE
FAST,,,,,,,,1,,,1,,,,,1,1,,,,,1,,,,,,,5,Fastenal,Industrials,Industrial Distribution,XLI
FATE,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,Fate Therapeutics,Healthcare,Biotechnology,XLV
FB,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,5,Facebook,Communication Services,Internet Content & Information,XLC
FBHS,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Fortune Brands Home,Consumer Cyclical,"Furnishings, Fixtures & Appliances",XLY
FCEL,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,FuelCell Energy,Industrials,Electrical Equipment & Parts,XLI
FCX,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,3,Freeport-McMoRan,Basic Materials,Copper,XLB
FDS,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,2,FactSet Research Systems,Financial Services,Financial Data & Stock Exchanges,XLF
FDX,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,4,FedEx,Industrials,Integrated Freight & Logistics,XLI
FE,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,FirstEnergy,Utilities,Utilities‚ Regulated Electric,XLU
FEYE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,FireEye,#N/A,#N/A,#N/A
FGSGF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Flat Glass Group Co,#N/A,#N/A,#N/A
FICO,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,Fair Isaac,Technology,Software‚ Application,XLK
FIS,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,4,Fidelity National Info,Technology,Information Technology Services,XLK
FISV,,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,,,,5,Fiserv,Technology,Information Technology Services,XLK
FITB,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Fifth Third Bancorp,Financial Services,Banks‚ Regional,XLF
FIVN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Five9,Technology,Software‚ Infrastructure,XLK
FLR,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Fluor,Industrials,Engineering & Construction,XLI
FLT,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,Fleetcor Technologies,Technology,Information Technology Services,XLK
FMC,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,4,FMC,Basic Materials,Agricultural Inputs,XLB
FN,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,Fabrinet,Technology,Electronic Components,XLK
FNGR,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,FingerMotion,Communication Services,Telecom Services,XLC
FORTY,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Formula Systems (1985),Technology,Information Technology Services,XLK
FOX,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Fox,Communication Services,Broadcasting,XLC
FOXA,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Fox,Communication Services,Broadcasting,XLC
FR,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,First Industrial Realty,Real Estate,REIT‚ Industrial,XLRE
FRC,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,First Republic Bank,Financial Services,Banks‚ Regional,XLF
FRPT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Freshpet,Consumer Defensive,Packaged Foods,XLP
FRT,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,Federal Realty Investment,Real Estate,REIT‚ Retail,XLRE
FSLR,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,First Solar,Technology,Solar,XLK
FTNT,,,,,,1,,,,,,,1,1,,,1,,,,,,1,,,,,,5,Fortinet,Technology,Software‚ Infrastructure,XLK
FTV,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Fortive,Technology,Scientific & Technical Instruments,XLK
GCTAF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Siemens Gamesa Renewable,#N/A,#N/A,#N/A
GD,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,General Dynamics,Industrials,Aerospace & Defense,XLI
GDS,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,GDS Holdings,Technology,Information Technology Services,XLK
GE,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,General Electric,Industrials,Specialty Industrial Machinery,XLI
GGG,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Graco,Industrials,Specialty Industrial Machinery,XLI
GH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Guardant Health,Healthcare,Diagnostics & Research,XLV
GILD,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,3,Gilead Sciences,Healthcare,Drug Manufacturers‚ General,XLV
GIS,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,3,General Mills,Consumer Defensive,Packaged Foods,XLP
GL,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Globe Life,Financial Services,Insurance‚ Life,XLF
GLEO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Galileo Acquisition,Financial Services,Shell Companies,XLF
GLOB,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Globant,Technology,Software‚ Application,XLK
GLPI,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,Gaming and Leisure Props,Real Estate,REIT‚ Specialty,XLRE
GLW,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,Corning,Technology,Electronic Components,XLK
GM,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,General Motors,Consumer Cyclical,Auto Manufacturers,XLY
GNCLF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Gencell,#N/A,#N/A,#N/A
GNRC,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,3,Generac Hldgs,Industrials,Specialty Industrial Machinery,XLI
GOOG,,,1,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,5,Alphabet,Communication Services,Internet Content & Information,XLC
GOOGL,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Alphabet,Communication Services,Internet Content & Information,XLC
GPC,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Genuine Parts,Consumer Cyclical,Specialty Retail,XLY
GPN,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,4,Global Payments,Industrials,Specialty Business Services,XLI
GPS,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Gap,Consumer Cyclical,Apparel Retail,XLY
GRP.U,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,Granite REIT,#N/A,#N/A,#N/A
GS,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,3,Goldman Sachs Group,Financial Services,Capital Markets,XLF
GTY,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Getty Realty,Real Estate,REIT‚ Retail,XLRE
GWRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Guidewire Software,Technology,Software‚ Application,XLK
